month,precipitation_mm,hist_mean_mm,stdev_hist_mm
1985-06,131.43,81.7337,34.5557
1985-07,77.77,81.576,36.3886
1985-08,68.98,84.272,47.8555
1985-09,44.46,76.36,43.2947
1985-10,19.58,81.0067,37.7022
1985-11,70.17,78.221,24.6453
1985-12,75.56,91.061,37.3262
1986-01,138.69,84.9467,42.0869
1986-02,7.83,71.848,38.2315
1986-03,122.19,78.902,36.3833
1986-04,69.68,61.535,32.9998
1986-05,76.7,75.0977,34.8745
1986-06,99.58,81.7337,34.5557
1986-07,56.51,81.576,36.3886
1986-08,83.86,84.272,47.8555
1986-09,73.11,76.36,43.2947
1986-10,106,81.0067,37.7022
1986-11,61.94,78.221,24.6453
1986-12,106.91,91.061,37.3262
1987-01,55.69,84.9467,42.0869
1987-02,88.8,71.848,38.2315
1987-03,101.02,78.902,36.3833
1987-04,46.64,61.535,32.9998
1987-05,91.25,75.0977,34.8745
1987-06,117.69,81.7337,34.5557
1987-07,116.47,81.576,36.3886
1987-08,77.78,84.272,47.8555
1987-09,72.65,76.36,43.2947
1987-10,99.07,81.0067,37.7022
1987-11,109.88,78.221,24.6453
1987-12,32.38,91.061,37.3262
1988-01,111.16,84.9467,42.0869
1988-02,110.63,71.848,38.2315
1988-03,173.79,78.902,36.3833
1988-04,27.3,61.535,32.9998
1988-05,105.71,75.0977,34.8745
1988-06,42.11,81.7337,34.5557
1988-07,140.47,81.576,36.3886
1988-08,45.75,84.272,47.8555
1988-09,73.98,76.36,43.2947
1988-10,87.85,81.0067,37.7022
1988-11,55.44,78.221,24.6453
1988-12,118.29,91.061,37.3262
1989-01,32.48,84.9467,42.0869
1989-02,70.17,71.848,38.2315
1989-03,89.45,78.902,36.3833
1989-04,145.62,61.535,32.9998
1989-05,35.71,75.0977,34.8745
1989-06,81.73,81.7337,34.5557
1989-07,45.91,81.576,36.3886
1989-08,60.04,84.272,47.8555
1989-09,64.57,76.36,43.2947
1989-10,85.11,81.0067,37.7022
1989-11,31.13,78.221,24.6453
1989-12,118.13,91.061,37.3262
1990-01,64.51,84.9467,42.0869
1990-02,111.74,71.848,38.2315
1990-03,36.93,78.902,36.3833
1990-04,61.33,61.535,32.9998
1990-05,33.96,75.0977,34.8745
1990-06,114.42,81.7337,34.5557
1990-07,43.64,81.576,36.3886
1990-08,81.1,84.272,47.8555
1990-09,73.72,76.36,43.2947
1990-10,58.42,81.0067,37.7022
1990-11,79.2,78.221,24.6453
1990-12,103.51,91.061,37.3262
1991-01,89.34,84.9467,42.0869
1991-02,27.15,71.848,38.2315
1991-03,39.93,78.902,36.3833
1991-04,51.94,61.535,32.9998
1991-05,27.61,75.0977,34.8745
1991-06,103.39,81.7337,34.5557
1991-07,62.9,81.576,36.3886
1991-08,30.77,84.272,47.8555
1991-09,44.39,76.36,43.2947
1991-10,37.5,81.0067,37.7022
1991-11,116.35,78.221,24.6453
1991-12,107.11,91.061,37.3262
1992-01,33.54,84.9467,42.0869
1992-02,54.56,71.848,38.2315
1992-03,103.22,78.902,36.3833
1992-04,53.22,61.535,32.9998
1992-05,49.34,75.0977,34.8745
1992-06,100.98,81.7337,34.5557
1992-07,69.3,81.576,36.3886
1992-08,147.8,84.272,47.8555
1992-09,42.61,76.36,43.2947
1992-10,96.09,81.0067,37.7022
1992-11,95.5,78.221,24.6453
1992-12,69.11,91.061,37.3262
1993-01,116.78,84.9467,42.0869
1993-02,34.63,71.848,38.2315
1993-03,8.33,78.902,36.3833
1993-04,35.03,61.535,32.9998
1993-05,67.99,75.0977,34.8745
1993-06,45.25,81.7337,34.5557
1993-07,99.67,81.576,36.3886
1993-08,35.99,84.272,47.8555
1993-09,138.62,76.36,43.2947
1993-10,96.44,81.0067,37.7022
1993-11,43,78.221,24.6453
1993-12,213.43,91.061,37.3262
1994-01,108.31,84.9467,42.0869
1994-02,31.64,71.848,38.2315
1994-03,101.96,78.902,36.3833
1994-04,61.71,61.535,32.9998
1994-05,64.03,75.0977,34.8745
1994-06,61.52,81.7337,34.5557
1994-07,46.78,81.576,36.3886
1994-08,72.11,84.272,47.8555
1994-09,126.08,76.36,43.2947
1994-10,65.53,81.0067,37.7022
1994-11,58.21,78.221,24.6453
1994-12,108.44,91.061,37.3262
1995-01,192.01,84.9467,42.0869
1995-02,104.45,71.848,38.2315
1995-03,94.49,78.902,36.3833
1995-04,67.9,61.535,32.9998
1995-05,48.87,75.0977,34.8745
1995-06,83.14,81.7337,34.5557
1995-07,69.87,81.576,36.3886
1995-08,39.21,84.272,47.8555
1995-09,88.56,76.36,43.2947
1995-10,45.48,81.0067,37.7022
1995-11,53.01,78.221,24.6453
1995-12,72.23,91.061,37.3262
1996-01,12.4,84.9467,42.0869
1996-02,67.56,71.848,38.2315
1996-03,30.64,78.902,36.3833
1996-04,8.19,61.535,32.9998
1996-05,67.85,75.0977,34.8745
1996-06,35.3,81.7337,34.5557
1996-07,48.86,81.576,36.3886
1996-08,171.78,84.272,47.8555
1996-09,38.33,76.36,43.2947
1996-10,69.39,81.0067,37.7022
1996-11,105.94,78.221,24.6453
1996-12,50.32,91.061,37.3262
1997-01,9.16,84.9467,42.0869
1997-02,109.2,71.848,38.2315
1997-03,48.39,78.902,36.3833
